A2W_APB_ID 0x00613277
A2W_PLLA_CORE_BYPEN_BITS 9:9
A2W_PLLA_CORE_BYPEN_CLR 0xfffffdff
A2W_PLLA_CORE_BYPEN_LSB 9
A2W_PLLA_CORE_BYPEN_MSB 9
A2W_PLLA_CORE_BYPEN_SET 0x00000200
A2W_PLLA_CORE_CHENB_BITS 8:8
A2W_PLLA_CORE_CHENB_CLR 0xfffffeff
A2W_PLLA_CORE_CHENB_LSB 8
A2W_PLLA_CORE_CHENB_MSB 8
A2W_PLLA_CORE_CHENB_SET 0x00000100
A2W_PLLA_CORE_DIV_BITS 7:0
A2W_PLLA_CORE_DIV_CLR 0xffffff00
A2W_PLLA_CORE_DIV_LSB 0
A2W_PLLA_CORE_DIV_MSB 7
A2W_PLLA_CORE_DIV_SET 0x000000ff
A2W_PLLA_CORE_MASK 0x000003ff
A2W_PLLA_CORER 0x7e102c00:RW
A2W_PLLA_CORE_RESET 0x00000100
A2W_PLLA_CORER_MASK 0x000003ff
A2W_PLLA_CORER_RESET 0x00000100
A2W_PLLA_CORER_WIDTH 10
A2W_PLLA_CORE_WIDTH 10
A2W_PLLA_CTRL 0x7e102100:RW
A2W_PLLA_CTRL_MASK 0x000373ff
A2W_PLLA_CTRL_NDIV_BITS 9:0
A2W_PLLA_CTRL_NDIV_CLR 0xfffffc00
A2W_PLLA_CTRL_NDIV_LSB 0
A2W_PLLA_CTRL_NDIV_MSB 9
A2W_PLLA_CTRL_NDIV_SET 0x000003ff
A2W_PLLA_CTRL_PDIV_BITS 14:12
A2W_PLLA_CTRL_PDIV_CLR 0xffff8fff
A2W_PLLA_CTRL_PDIV_LSB 12
A2W_PLLA_CTRL_PDIV_MSB 14
A2W_PLLA_CTRL_PDIV_SET 0x00007000
A2W_PLLA_CTRL_PRSTN_BITS 17:17
A2W_PLLA_CTRL_PRSTN_CLR 0xfffdffff
A2W_PLLA_CTRL_PRSTN_LSB 17
A2W_PLLA_CTRL_PRSTN_MSB 17
A2W_PLLA_CTRL_PRSTN_SET 0x00020000
A2W_PLLA_CTRL_PWRDN_BITS 16:16
A2W_PLLA_CTRL_PWRDN_CLR 0xfffeffff
A2W_PLLA_CTRL_PWRDN_LSB 16
A2W_PLLA_CTRL_PWRDN_MSB 16
A2W_PLLA_CTRL_PWRDN_SET 0x00010000
A2W_PLLA_CTRLR 0x7e102900:RW
A2W_PLLA_CTRL_RESET 0x00010000
A2W_PLLA_CTRLR_MASK 0x000373ff
A2W_PLLA_CTRLR_RESET 0x00010000
A2W_PLLA_CTRLR_WIDTH 18
A2W_PLLA_CTRL_WIDTH 18
A2W_PLLA_DIG0 0x7e102000:RW
A2W_PLLA_DIG0_MASK 0x00ffffff
A2W_PLLA_DIG0R 0x7e102800:RW
A2W_PLLA_DIG0_RESET 0000000000
A2W_PLLA_DIG0R_MASK 0x00ffffff
A2W_PLLA_DIG0R_RESET 0000000000
A2W_PLLA_DIG0R_WIDTH 24
A2W_PLLA_DIG0_WIDTH 24
A2W_PLLA_DIG1 0x7e102004:RW
A2W_PLLA_DIG1_MASK 0x00ffffff
A2W_PLLA_DIG1R 0x7e102804:RW
A2W_PLLA_DIG1_RESET 0x00004000
A2W_PLLA_DIG1R_MASK 0x00ffffff
A2W_PLLA_DIG1R_RESET 0x00004000
A2W_PLLA_DIG1R_WIDTH 24
A2W_PLLA_DIG1_WIDTH 24
A2W_PLLA_DIG2 0x7e102008:RW
A2W_PLLA_DIG2_MASK 0x00ffffff
A2W_PLLA_DIG2R 0x7e102808:RW
A2W_PLLA_DIG2_RESET 0x00100401
A2W_PLLA_DIG2R_MASK 0x00ffffff
A2W_PLLA_DIG2R_RESET 0x00100401
A2W_PLLA_DIG2R_WIDTH 24
A2W_PLLA_DIG2_WIDTH 24
A2W_PLLA_DIG3 0x7e10200c:RW
A2W_PLLA_DIG3_MASK 0x00ffffff
A2W_PLLA_DIG3R 0x7e10280c:RW
A2W_PLLA_DIG3_RESET 0x00000004
A2W_PLLA_DIG3R_MASK 0x00ffffff
A2W_PLLA_DIG3R_RESET 0x00000004
A2W_PLLA_DIG3R_WIDTH 24
A2W_PLLA_DIG3_WIDTH 24
A2W_PLLA_DSI0 0x7e102300:RW
A2W_PLLA_DSI0_BYPEN_BITS 9:9
A2W_PLLA_DSI0_BYPEN_CLR 0xfffffdff
A2W_PLLA_DSI0_BYPEN_LSB 9
A2W_PLLA_DSI0_BYPEN_MSB 9
A2W_PLLA_DSI0_BYPEN_SET 0x00000200
A2W_PLLA_DSI0_CHENB_BITS 8:8
A2W_PLLA_DSI0_CHENB_CLR 0xfffffeff
A2W_PLLA_DSI0_CHENB_LSB 8
A2W_PLLA_DSI0_CHENB_MSB 8
A2W_PLLA_DSI0_CHENB_SET 0x00000100
A2W_PLLA_DSI0_DIV_BITS 7:0
A2W_PLLA_DSI0_DIV_CLR 0xffffff00
A2W_PLLA_DSI0_DIV_LSB 0
A2W_PLLA_DSI0_DIV_MSB 7
A2W_PLLA_DSI0_DIV_SET 0x000000ff
A2W_PLLA_DSI0_MASK 0x000003ff
A2W_PLLA_DSI0R 0x7e102b00:RW
A2W_PLLA_DSI0_RESET 0x00000100
A2W_PLLA_DSI0R_MASK 0x000003ff
A2W_PLLA_DSI0R_RESET 0x00000100
A2W_PLLA_DSI0R_WIDTH 10
A2W_PLLA_DSI0_WIDTH 10
A2W_PLLA_FRAC 0x7e102200:RW
A2W_PLLA_FRAC_FRAC_BITS 19:0
A2W_PLLA_FRAC_FRAC_CLR 0xfff00000
A2W_PLLA_FRAC_FRAC_LSB 0
A2W_PLLA_FRAC_FRAC_MSB 19
A2W_PLLA_FRAC_FRAC_SET 0x000fffff
A2W_PLLA_FRAC_MASK 0x000fffff
A2W_PLLA_FRACR 0x7e102a00:RW
A2W_PLLA_FRAC_RESET 0000000000
A2W_PLLA_FRACR_MASK 0x000fffff
A2W_PLLA_FRACR_RESET 0000000000
A2W_PLLA_FRACR_WIDTH 20
A2W_PLLA_FRAC_WIDTH 20
A2W_PLLA_MULTI 0x7e102f00:RW
A2W_PLLA_MULTI_MASK 0000000000
A2W_PLLA_MULTI_RESET 0000000000
A2W_PLLA_MULTI_WIDTH 0
A2W_PLLA_PER 0x7e102500:RW
A2W_PLLA_PER_BYPEN_BITS 9:9
A2W_PLLA_PER_BYPEN_CLR 0xfffffdff
A2W_PLLA_PER_BYPEN_LSB 9
A2W_PLLA_PER_BYPEN_MSB 9
A2W_PLLA_PER_BYPEN_SET 0x00000200
A2W_PLLA_PER_CHENB_BITS 8:8
A2W_PLLA_PER_CHENB_CLR 0xfffffeff
A2W_PLLA_PER_CHENB_LSB 8
A2W_PLLA_PER_CHENB_MSB 8
A2W_PLLA_PER_CHENB_SET 0x00000100
A2W_PLLA_PER_DIV_BITS 7:0
A2W_PLLA_PER_DIV_CLR 0xffffff00
A2W_PLLA_PER_DIV_LSB 0
A2W_PLLA_PER_DIV_MSB 7
A2W_PLLA_PER_DIV_SET 0x000000ff
A2W_PLLA_PER_MASK 0x000003ff
A2W_PLLA_PERR 0x7e102d00:RW
A2W_PLLA_PER_RESET 0x00000100
A2W_PLLA_PERR_MASK 0x000003ff
A2W_PLLA_PERR_RESET 0x00000100
A2W_PLLA_PERR_WIDTH 10
A2W_PLLA_PER_WIDTH 10
A2W_PLLB_ANA0 0x7e1020f0:RW
A2W_PLLB_ANA0_MASK 0x00ffffff
A2W_PLLB_ANA0R 0x7e1028f0:RW
A2W_PLLB_ANA0_RESET 0000000000
A2W_PLLB_ANA0R_MASK 0x00ffffff
A2W_PLLB_ANA0R_RESET 0000000000
A2W_PLLB_ANA0R_WIDTH 24
A2W_PLLB_ANA0_WIDTH 24
A2W_PLLB_ANA1 0x7e1020f4:RW
A2W_PLLB_ANA1_MASK 0x00ffffff
A2W_PLLB_ANA1R 0x7e1028f4:RW
A2W_PLLB_ANA1_RESET 0x001d0000
A2W_PLLB_ANA1R_MASK 0x00ffffff
A2W_PLLB_ANA1R_RESET 0x001d0000
A2W_PLLB_ANA1R_WIDTH 24
A2W_PLLB_ANA1_WIDTH 24
A2W_PLLB_ANA2 0x7e1020f8:RW
A2W_PLLB_ANA2_MASK 0x00ffffff
A2W_PLLB_ANA2R 0x7e1028f8:RW
A2W_PLLB_ANA2_RESET 0000000000
A2W_PLLB_ANA2R_MASK 0x00ffffff
A2W_PLLB_ANA2R_RESET 0000000000
A2W_PLLB_ANA2R_WIDTH 24
A2W_PLLB_ANA2_WIDTH 24
A2W_PLLB_ANA3 0x7e1020fc:RW
A2W_PLLB_ANA3_MASK 0x00ffffff
A2W_PLLB_ANA3R 0x7e1028fc:RW
A2W_PLLB_ANA3_RESET 0x00000180
A2W_PLLB_ANA3R_MASK 0x00ffffff
A2W_PLLB_ANA3R_RESET 0x00000180
A2W_PLLB_ANA3R_WIDTH 24
A2W_PLLB_ANA3_WIDTH 24
A2W_PLLB_ANA_KAIP 0x7e1023f0:RW
A2W_PLLB_ANA_KAIP_KA_BITS 10:8
A2W_PLLB_ANA_KAIP_KA_CLR 0xfffff8ff
A2W_PLLB_ANA_KAIP_KA_LSB 8
A2W_PLLB_ANA_KAIP_KA_MSB 10
A2W_PLLB_ANA_KAIP_KA_SET 0x00000700
A2W_PLLB_ANA_KAIP_KI_BITS 6:4
A2W_PLLB_ANA_KAIP_KI_CLR 0xffffff8f
A2W_PLLB_ANA_KAIP_KI_LSB 4
A2W_PLLB_ANA_KAIP_KI_MSB 6
A2W_PLLB_ANA_KAIP_KI_SET 0x00000070
A2W_PLLB_ANA_KAIP_KP_BITS 3:0
A2W_PLLB_ANA_KAIP_KP_CLR 0xfffffff0
A2W_PLLB_ANA_KAIP_KP_LSB 0
A2W_PLLB_ANA_KAIP_KP_MSB 3
A2W_PLLB_ANA_KAIP_KP_SET 0x0000000f
A2W_PLLB_ANA_KAIP_MASK 0x0000077f
A2W_PLLB_ANA_KAIPR 0x7e102bf0:RW
A2W_PLLB_ANA_KAIP_RESET 0x0000033a
A2W_PLLB_ANA_KAIPR_MASK 0x0000077f
A2W_PLLB_ANA_KAIPR_RESET 0x0000033a
A2W_PLLB_ANA_KAIPR_WIDTH 11
A2W_PLLB_ANA_KAIP_WIDTH 11
A2W_PLLB_ANA_MULTI 0x7e102ff0:RW
A2W_PLLB_ANA_MULTI_MASK 0000000000
A2W_PLLB_ANA_MULTI_RESET 0000000000
A2W_PLLB_ANA_MULTI_WIDTH 0
A2W_PLLB_ANA_SCTL 0x7e1025f0:RW
A2W_PLLB_ANA_SCTL_MASK 0x0000001f
A2W_PLLB_ANA_SCTLR 0x7e102df0:RW
A2W_PLLB_ANA_SCTL_RESET 0000000000
A2W_PLLB_ANA_SCTL_RESET_BITS 4:4
A2W_PLLB_ANA_SCTL_RESET_CLR 0xffffffef
A2W_PLLB_ANA_SCTL_RESET_LSB 4
A2W_PLLB_ANA_SCTL_RESET_MSB 4
A2W_PLLB_ANA_SCTL_RESET_SET 0x00000010
A2W_PLLB_ANA_SCTLR_MASK 0x0000001f
A2W_PLLB_ANA_SCTLR_RESET 0000000000
A2W_PLLB_ANA_SCTLR_WIDTH 5
A2W_PLLB_ANA_SCTL_SEL_BITS 2:0
A2W_PLLB_ANA_SCTL_SEL_CLR 0xfffffff8
A2W_PLLB_ANA_SCTL_SEL_LSB 0
A2W_PLLB_ANA_SCTL_SEL_MSB 2
A2W_PLLB_ANA_SCTL_SEL_SET 0x00000007
A2W_PLLB_ANA_SCTL_UPDATE_BITS 3:3
A2W_PLLB_ANA_SCTL_UPDATE_CLR 0xfffffff7
A2W_PLLB_ANA_SCTL_UPDATE_LSB 3
A2W_PLLB_ANA_SCTL_UPDATE_MSB 3
A2W_PLLB_ANA_SCTL_UPDATE_SET 0x00000008
A2W_PLLB_ANA_SCTL_WIDTH 5
A2W_PLLB_ANA_SSCL 0x7e1022f0:RW
A2W_PLLB_ANA_SSCL_LIMIT_BITS 21:0
A2W_PLLB_ANA_SSCL_LIMIT_CLR 0xffc00000
A2W_PLLB_ANA_SSCL_LIMIT_LSB 0
A2W_PLLB_ANA_SSCL_LIMIT_MSB 21
A2W_PLLB_ANA_SSCL_LIMIT_SET 0x003fffff
A2W_PLLB_ANA_SSCL_MASK 0x003fffff
A2W_PLLB_ANA_SSCLR 0x7e102af0:RW
A2W_PLLB_ANA_SSCL_RESET 0000000000
A2W_PLLB_ANA_SSCLR_MASK 0x0001ffff
A2W_PLLB_ANA_SSCLR_RESET 0000000000
A2W_PLLB_ANA_SSCLR_WIDTH 17
A2W_PLLB_ANA_SSCL_WIDTH 22
A2W_PLLB_ANA_SSCS 0x7e1021f0:RW
A2W_PLLB_ANA_SSCS_MASK 0x0001ffff
A2W_PLLB_ANA_SSCS_MODE_BITS 16:16
A2W_PLLB_ANA_SSCS_MODE_CLR 0xfffeffff
A2W_PLLB_ANA_SSCS_MODE_LSB 16
A2W_PLLB_ANA_SSCS_MODE_MSB 16
A2W_PLLB_ANA_SSCS_MODE_SET 0x00010000
A2W_PLLB_ANA_SSCSR 0x7e1029f0:RW
A2W_PLLB_ANA_SSCS_RESET 0000000000
A2W_PLLB_ANA_SSCSR_MASK 0x0001ffff
A2W_PLLB_ANA_SSCSR_RESET 0000000000
A2W_PLLB_ANA_SSCSR_WIDTH 17
A2W_PLLB_ANA_SSCS_STEP_BITS 15:0
A2W_PLLB_ANA_SSCS_STEP_CLR 0xffff0000
A2W_PLLB_ANA_SSCS_STEP_LSB 0
A2W_PLLB_ANA_SSCS_STEP_MSB 15
A2W_PLLB_ANA_SSCS_STEP_SET 0x0000ffff
A2W_PLLB_ANA_SSCS_WIDTH 17
A2W_PLLB_ANA_STAT 0x7e1024f0:RW
A2W_PLLB_ANA_STAT_DATA_BITS 11:0
A2W_PLLB_ANA_STAT_DATA_CLR 0xfffff000
A2W_PLLB_ANA_STAT_DATA_LSB 0
A2W_PLLB_ANA_STAT_DATA_MSB 11
A2W_PLLB_ANA_STAT_DATA_SET 0x00000fff
A2W_PLLB_ANA_STAT_MASK 0x00000fff
A2W_PLLB_ANA_STATR 0x7e102cf0:RW
A2W_PLLB_ANA_STAT_RESET 0000000000
